address,sbl_long,sbl_short,sale_price,sale_date,assessment,prop_type,lot_size,yr_blt,sqft,bedrooms,baths,fireplaces
"56 PEACH, Buffalo",1112500002009000,111.25-2-9,"$16,500",6/26/2019,"$3,300",Vacant Land - Res vac land ,25 x 100,,,,,
"47 FLOSS, Buffalo",1012600006021000,101.26-6-21,"$50,000",6/25/2019,"$37,000",Residential - 1 Family ResOld style,30 x 101,1915,"1,380",4,1,0
"69 DEPEW EAST, Buffalo",0902100004010000,90.21-4-10,"$210,000",6/25/2019,"$90,000",Residential - 2 Family ResOld style,40 x 128,1927,"2,314",4,2,0
"67 LUDINGTON, Buffalo",1125700001016000,112.57-1-16,"$47,000",6/24/2019,"$42,000",Residential - 1 Family ResOld style,30 x 125,1930,"1,496",3,1,0
"81 WEBER, Buffalo",0908300001046000,90.83-1-46,"$87,000",6/24/2019,"$47,000",Residential - 2 Family ResOld style,35 x 133,1930,"1,852",5,2,0
"1658 CLINTON, Buffalo",1233200003002000,123.32-3-2,"$40,000",6/21/2019,"$49,000",Residential - 1 Family ResRanch,62.2 x 0,1915,557,1,1,0
"309 NORTH ST, Buffalo",100690000601100045,100.69-6-11./45,"$148,000",6/21/2019,"$81,000",Commercial - ApartmentOther style,4 x 630,1950,960,1,1,0
"900 DELAWARE, Buffalo",1005400002022000102,100.54-2-22./102,"$286,000",6/21/2019,"$116,000",Commercial - ApartmentOther style,7 x 210.39,1988,"1,059",2,2,0
"349 DARTMOUTH, Buffalo",0798100008013000,79.81-8-13,"$58,000",6/21/2019,"$46,000",Residential - 1 Family ResOld style,30 x 108,1925,"1,182",3,1,0
"68 HOMER, Buffalo",0786300003008000,78.63-3-8,"$168,000",6/21/2019,"$183,000",Residential - 1 Family ResOld style,35 x 150,1920,"1,820",3,1,0
"89 WEISS, Buffalo",1234100005034000,123.41-5-34,"$50,000",6/21/2019,"$52,000",Residential - 2 Family ResOld style,30 x 100,1900,"1,500",3,2,0
"259 DARTMOUTH, Buffalo",0798000003020000,79.80-3-20,"$70,000",6/21/2019,"$58,000",Residential - 2 Family ResOld style,34 x 142,1920,"1,825",4,2,0
"151 KAY, Buffalo",0903500002034000,90.35-2-34,"$101,000",6/20/2019,"$65,000",Residential - 2 Family ResOld style,33 x 175,1929,"2,248",4,2,1
"320 BIRD, Buffalo",0886800002029000,88.68-2-29,"$304,000",6/20/2019,"$257,000",Commercial - Apartment ,36 x 100,,,,,
"44 HENNEPIN, Buffalo",1124900002049000,112.49-2-49,"$55,000",6/19/2019,"$53,000",Residential - 1 Family ResOld style,34 x 125,1920,"1,344",2,1,1
